artifact_row_index,source_id,city,district,support,tier,address_text
168068,7391309,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168069,7391310,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168070,7391311,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168071,7391312,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168072,7391313,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168073,7391314,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168074,7391315,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168075,7391316,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168076,7391317,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168077,7391319,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168078,7391320,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
168080,7391484,casablanca,casablanca marina,100,SAFE_25,Casablanca Marina à Casablanca
168082,7392039,mohammedia,nassim,37,SAFE_25,Nassim à Mohammedia
168085,7392159,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
168088,7392997,rabat,riyad,566,SAFE_25,Riyad à Rabat
168096,7393808,meknes,marjane,146,SAFE_25,Marjane à Meknes
168099,7394397,tanger,mozart,64,SAFE_25,Mozart à Tanger
168100,7394509,casablanca,racine,596,SAFE_25,Racine à Casablanca
168109,7395225,casablanca,anassi,40,SAFE_25,Anassi à Casablanca
168110,7395382,casablanca,la floride,14,SAFE_10,La Floride à Casablanca
168115,7395954,casablanca,maarif extension,351,SAFE_25,Maârif Extension à Casablanca
168121,7396993,tanger,malabata,421,SAFE_25,Malabata à Tanger
168125,7397271,tanger,de la plage,188,SAFE_25,De La Plage à Tanger
168129,7397488,tanger,manar,103,SAFE_25,Manar à Tanger
168130,7397766,marrakech,hay mohammadi,5,SAFE_5,Hay Mohammadi à Marrakech
168133,7398670,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
168136,7398932,casablanca,mers sultan,170,SAFE_25,Mers Sultan à Casablanca
168137,7399060,tanger,malabata,421,SAFE_25,Malabata à Tanger
