artifact_row_index,source_id,district
167899,7365680,route de marrakech
167901,7366490,dar bouazza
167906,7367539,marrakech
167907,7367790,zenata
167912,7368504,casablanca finance city
167913,7368513,racine
167914,7368557,ferme bretonne hay arraha
167915,7368570,agdal
167916,7368601,mimosas
167918,7369276,la ville haute
167919,7369277,kenitra
167924,7370611,tetouan
167925,7370698,riyad
167926,7370758,ain diab
167928,7371060,corniche
167929,7371063,derb al hajjar
167930,7371064,derb ghalef
167931,7371071,dar assalam
167932,7371077,dar assalam
167933,7371156,riyad
167947,7371808,dar bouazza
167949,7372082,riyad
167955,7372866,hay hassani
167957,7372948,wifak
167959,7373882,palmier
167960,7374520,hay chmaou
167961,7374562,hay targa
167965,7375432,manar
167968,7375702,quartier industriel
167969,7376131,maarif
167970,7376140,dar bouazza
167973,7376631,amelkis
167979,7378415,route de l ourika
167980,7378424,route amizmiz
167985,7378756,dar bouazza
167989,7379556,beni mellal
167992,7380071,mouassine
167994,7380696,riyad
167998,7381383,founti
168000,7381450,el menzeh
168001,7381673,ennakhil palmeraie
168004,7382068,oasis
168005,7382077,chefchaouen
168006,7382655,sidi abdellah
168008,7382966,route de l ourika
168010,7383140,riyad
168014,7383704,dar bouazza
168015,7384221,medina
168017,7384806,bouskoura ville
168022,7385565,bourgogne ouest
168026,7386277,hay chmaou
168027,7386384,sidi abdallah
168030,7387056,route de l ourika
168035,7387249,route de ouarzazate
168036,7387375,bouskoura ville
168037,7387382,ennakhil palmeraie
168038,7387449,oualidia
168040,7388063,ennakhil palmeraie
168042,7388233,centre
168051,7388938,centre ville
168054,7389280,gauthier
168057,7389426,route de ouarzazate
168060,7390174,assouel
168061,7390238,hay targa
168063,7390347,tit mellil
168081,7391701,kasba tadla
168083,7392082,riyad
168087,7392984,marrakech
168089,7393012,mont fleuri
168094,7393672,secteur touristique
168097,7394014,ain borja
168098,7394313,narjis
168102,7394573,golf de benslimane
168104,7394720,sidi yahya zaer
168105,7394723,route de fez
168113,7395883,hay salam
168114,7395917,route nationale assilah n1
168117,7396708,ain sebaa
168119,7396847,jbel kbir
168127,7397390,bouskoura ville
168131,7397951,hamria
168132,7398121,route nationale assilah n1
168134,7398681,route nationale assilah n1
168135,7398782,secteur touristique
168145,7399701,route de l ourika
168146,7399719,bouskoura ville
168151,7400367,oulfa
168152,7400429,ain mezouar
168156,7400830,quartier des ambassades
168158,7400985,nouvelle ville
168174,7402937,centre
168177,7403630,souissi
168196,7404703,entree sud
168197,7405385,sidi ghanem
168198,7405526,bouskoura ville
168206,7406205,de la plage
168209,7406568,al boustane
168211,7406829,riyad
168213,7407047,route d agadir
168214,7407060,tamesna
168220,7407676,marina
168234,7408737,ksar el kebir
168241,7409339,centre ville
168242,7409342,centre ville
168244,7409623,derb ghalef
168255,7410249,dar bouazza
168256,7410289,hay houda
168260,7410972,riyad
168263,7411089,route nationale assilah n1
168264,7411635,californie
168265,7411717,sidi youssef
168266,7411718,derb loubila
168269,7411965,hay chmaou
168271,7412161,beausejour
168273,7412477,ain diab extension
168279,7413611,hamria
168284,7414466,malabata
168288,7414895,ennakhil palmeraie
168297,7415828,gueliz
168303,7416322,route de fez
168305,7416413,bourgogne est
168307,7416654,val fleuri
168310,7416791,route de fez
168315,7418201,racine
168316,7418281,jbel kbir
168321,7418552,ahl loghlam hay assalam
168324,7418902,souissi
168325,7418914,tanja balia
168326,7418916,anfa superieur
168330,7419148,malabata
168333,7419787,jbel kbir
168334,7419809,sala el jadida
168336,7420030,dar bouazza
168339,7420170,les hopitaux
168340,7420176,tantonville
168343,7420830,malabata
168346,7421274,saidia
168358,7422831,nassim 2
168365,7423499,casablanca finance city
168366,7423709,centre
168367,7423715,al kawtar
168370,7424108,ville verte
168377,7425527,biougra
168378,7425543,biougra
168386,7426314,ain diab
168387,7426339,tanja balia
168388,7426376,alfilline
168395,7427221,hay targa
168396,7427225,centre ville
168400,7428022,dar bouazza
168403,7428548,ain diab
168404,7428553,route de l ourika
168410,7429224,haut agdal
168416,7429962,route de l ourika
168418,7430033,bouskoura ville
168420,7430369,bouskoura ville
168424,7431109,dar bouazza
168425,7431122,el manar el hank
168427,7431367,nassim 2
168428,7431418,cabo negro
168432,7431653,route de safi
168433,7431654,lahrarta
168448,7432901,nassim 2
168449,7432910,bourgogne ouest
168450,7433049,l habitat
168452,7433261,essaada
168455,7433568,manar
168464,7434538,centre ville
168468,7435075,biranzarane
168469,7435206,gueliz
168481,7437512,hassan centre ville
168482,7437919,illigh
168485,7437996,marchan
168487,7438532,jamila 6
168497,7439983,californie
168501,7440609,californie
168505,7441418,ras ain rhamna
168510,7442628,azrou
168512,7442806,m diq
168518,7443154,plage oued cherrat
168530,7444441,centre ville
168538,7445300,centre ville
168539,7445331,riad al atlas
168540,7445540,centre
168548,7446193,mont fleuri
168549,7446203,sidi bouknadel
168558,7446921,triangle d or
168559,7447249,majorelle
168560,7447364,agdal
168563,7447594,roches noires
168566,7447822,errahma
168568,7448327,oued zem
168573,7448660,souissi
168574,7448709,route de fez
168578,7449165,marjane
168579,7449327,saidia
168585,7450337,el hadadda
168588,7451268,centre
168591,7451786,ziaten
168592,7451939,bab al bahr
168595,7452545,iberie
168596,7452692,du golf
168597,7452737,ain diab
168598,7452777,essaouira
168599,7452793,agdal
168605,7453158,quartier aerodrome
168613,7453691,beni yakhlef
168616,7453982,administratif
168617,7453992,manar
168622,7454813,taghazout
168636,7456415,berkane
168637,7456433,souissi
168639,7456558,medina
168646,7457136,bouskoura ville
168648,7457307,harhoura
168650,7457557,skhirat
168656,7458384,dar assalam
168666,7459664,belvedere
168671,7459735,belvedere
